iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
GUY,107,Guyana,State,drought_spei_copernicus_1940-2024,53876.27639237921,281356.97499740665,806516.1305592475,212464.69857185436
HND,111,Honduras,State,drought_spei_copernicus_1940-2024,1349.793075163166,3943858.633544406,10680596.343706677,113263.89645478154
ATA,10,Antarctica,Antarctica,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,7152197996.250702
PAN,191,Panama,State,drought_spei_copernicus_1940-2024,139432.7962196513,1320561.909545777,4412833.490769271,74845.4578330099
CRI,61,Costa Rica,State,drought_spei_copernicus_1940-2024,89759.64608220855,1191440.431202106,5097139.791024169,51372.11176180531
PER,195,Peru,State,drought_spei_copernicus_1940-2024,5854528.907717528,9874602.154507585,33712165.25763947,1297436.2213294078
URY,260,Uruguay,State,drought_spei_copernicus_1940-2024,648222.1452480906,767231.859711045,3371693.0755634974,178241.60467685727
VEN,263,Venezuela,State,drought_spei_copernicus_1940-2024,1880346.941189626,8674825.468031012,27788482.792495493,916571.0978341632
COL,57,Colombia,State,drought_spei_copernicus_1940-2024,2142792.873752692,13013575.10647721,52128715.14884685,1142948.2396038596
BVT,36,Bouvet Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,48.47755491096251
VEN,32,Bird Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,0.0507759189895565
CHL,51,Chile,State,drought_spei_copernicus_1940-2024,3747472.527926512,4013980.5350768864,19256097.1616244,754910.6301282463
HMD,109,Heard Island and McDonald Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,378.6238153254996
GUF,86,French Guiana,Territory,drought_spei_copernicus_1940-2024,420.0742185793196,112482.99031992305,297762.45237326773,83989.94434470146
SGS,228,South Georgia and the South Sandwich Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,3861.547588424908
UMI,174,Navassa Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,4.638638906721033
BMU,30,Bermuda,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,10712.909254938151,50145.3578799381,63.4595645442202
VGB,39,British Virgin Islands,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,7297.881267011047,33854.28194606475,154.31580680812598
AIA,9,Anguilla,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,3104.601077427416,13009.439445854989,79.23659157153695
MSR,168,Montserrat,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,885.0087706067327,4021.2285158999935,103.02936407572408
CYM,48,Cayman Islands,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,14032.53315531916,64960.41044685016,270.04274359920925
VIR,258,United States Virgin Islands (USA),Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,17118.069615645214,79082.25973535837,357.035792643193
DOM,72,Dominican Republic,State,drought_spei_copernicus_1940-2024,773836.9917729921,3629207.7956842417,11257522.372271528,48335.057496127774
BRB,24,Barbados,State,drought_spei_copernicus_1940-2024,0.0,59721.41187981417,271781.69957149983,434.8059136047317
TCA,251,Turks and Caicos Islands,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,9001.10259195128,41172.567633025385,606.5159654432885
KNA,208,Saint Kitts and Nevis,State,drought_spei_copernicus_1940-2024,0.0,10365.929672542135,42028.08360243017,263.688232836804
VCT,211,Saint Vincent and the Grenadines,State,drought_spei_copernicus_1940-2024,0.0,26028.38873739571,91193.84623590438,427.9908659751544
GRD,99,Grenada,State,drought_spei_copernicus_1940-2024,0.0,28110.071949101537,108553.18219274694,319.2724197892057
TTO,246,Trinidad and Tobago,State,drought_spei_copernicus_1940-2024,0.0,325947.0971570342,1483392.2649238792,5164.995457964667
DMA,289,Dominica,State,drought_spei_copernicus_1940-2024,0.0,14477.090363100464,58780.40363866134,753.9131612459697
ATG,11,Antigua and Barbuda,State,drought_spei_copernicus_1940-2024,0.0,20623.90264856788,89101.27220167928,465.66877466632536
CUB,279,Cuba,State,drought_spei_copernicus_1940-2024,666154.4040911284,2039201.970603794,10871800.458528278,111079.15459164474
JAM,123,Jamaica,State,drought_spei_copernicus_1940-2024,0.0,670250.9584079692,2792030.41726413,11027.322775338624
LCA,209,Saint Lucia,State,drought_spei_copernicus_1940-2024,0.0,39029.663567068295,172255.95329170083,607.1929848669812
HTI,108,Haiti,State,drought_spei_copernicus_1940-2024,1046463.9143904484,4371988.700371957,11565253.307161896,27024.905184764
BHS,20,Bahamas,State,drought_spei_copernicus_1940-2024,8452.111230501136,89094.05734750768,378132.3032186393,13197.834207030248
GLP,100,Guadeloupe,Territory,drought_spei_copernicus_1940-2024,0.0,76351.79871969704,354476.1647512368,1647.667635126595
PRI,200,Puerto Rico (USA),Territory,drought_spei_copernicus_1940-2024,17653.555433601607,497753.8756872028,3209114.5966493,9058.397129711117
BES,1003,Bonaire,Territory,drought_spei_copernicus_1940-2024,0.0,4758.155446785976,23291.449973665814,290.5194627290865
BES,1001,Saba,Territory,drought_spei_copernicus_1940-2024,0.0,335.72274976175487,1864.1533055118484,13.454310182283288
BES,1002,Sint Eustatius,Territory,drought_spei_copernicus_1940-2024,0.0,681.2318620659117,2891.3248120583985,21.24058383681509
CUW,1005,Curaçao,Territory,drought_spei_copernicus_1940-2024,0.0,34128.4293659543,181993.6881190145,448.9751140538291
BLM,1004,Saint Barthélemy,Territory,drought_spei_copernicus_1940-2024,0.0,2679.0484541813685,9282.198241565393,21.74363788484882
MAF,1007,Saint Martin,Territory,drought_spei_copernicus_1940-2024,0.0,6901.46244638115,24304.636895836724,55.56345651025134
MTQ,158,Martinique,Territory,drought_spei_copernicus_1940-2024,0.0,63708.39255117395,327886.0895660918,1106.4140454802416
ABW,14,Aruba,Territory,drought_spei_copernicus_1940-2024,0.0,22562.39640998819,105840.44561489028,185.047525616937
